latitude,longitude
30.619582,104.092931
30.619629,104.12741
30.619668,104.011164
30.619768,104.064923
30.619781,104.117478
30.619826,104.126978
30.619827,104.126982
30.619847,104.115345
30.619904,104.114662
30.619915,104.059443
30.619959,104.092922
30.620007,104.062568
30.62003,104.057447
30.620043,104.060588
30.620099,104.077173
30.620134,104.064829
30.620187,104.126483
30.620214,104.07716
30.62026,104.112308
30.620268,104.068788
30.62034,104.076743
30.620345,104.071372
30.62037,104.076955
30.620509,104.092916
30.620542,104.112336
30.620627,104.088211
30.620632,104.056165
30.620635,104.073389
30.620674,104.079568
30.62068,104.092689
30.620701,104.084026
30.620757,104.077276
30.621049,104.083874
30.621164,104.077263
30.621364,104.076943
30.621449,104.053932
30.621503,104.121219
30.621648,104.124777
30.621774,104.076843
30.621844,104.124299
30.621926,104.12261
30.621942,104.076831
30.622333,104.076819
30.62265,104.07704
30.622743,104.05176
30.622945,104.006418
30.622947,104.123189
30.622947,104.123189
30.622947,104.123189
30.623071,104.076763
30.623493,104.076821
30.623517,104.093232
30.623537,104.093089
30.623562,104.093252
30.623671,104.076978
30.623688,104.049274
30.62383,104.079711
30.62383,104.084107
30.623936,104.093439
30.623974,104.084094
30.62401,104.082317
30.624609,104.093694
30.624808,104.121759
30.624957,104.047429
30.624971,104.003801
30.625241,104.003938
30.625241,104.045903
30.625327,104.004123
30.625365,104.094101
30.625614,104.121163
30.625816,104.076739
30.62601,104.094192
30.626088,104.094169
30.62614,104.094086
30.626293,104.094082
30.626297,104.094184
30.626319,104.076737
30.626323,104.143941
30.62637,104.144245
30.62643,104.137851
30.626513,104.006157
30.626546,104.076754
30.626591,104.07675
30.626663,104.006397
30.626706,104.120383
30.626719,104.076532
30.626826,104.137127
30.626966,104.137162
30.627066,104.042914
30.627361,104.007382
30.627433,104.142421
30.627481,104.041422
30.627532,104.00743
30.62759,104.007415
30.627776,104.137613
30.627836,104.138619
30.627836,104.138619
30.627836,104.138619
30.627836,104.138619
30.628309,104.139033
30.628489,104.139283
30.628688,104.145101
30.628797,104.143577
30.628839,104.096179
30.628898,104.143679
30.628919,104.096448
30.628928,104.006117
30.628997,104.14435
30.62904,104.143777
30.629153,104.094858
30.629198,104.038542
30.62921,104.005762
30.629231,104.037907
30.629389,104.094979
30.629391,104.094774
30.629391,104.095166
30.629471,104.141716
30.629474,104.117548
30.629528,104.076504
30.629711,104.141618
30.629811,104.141408
30.630248,104.140508
30.63027,104.140484
30.630327,104.036571
30.630476,104.076358
30.630686,104.036331
30.631003,104.144519
30.631283,104.003802
30.63129,104.094499
30.631316,104.097834
30.631332,104.139524
30.631431,104.036204
30.631646,104.003678
30.631881,104.036476
